_id,target_words,responses,age,gender,readingSkills,writingSkills,listeningSkills,speakingSkills,average_rating
6638a21ed8a5b440f8968bbd,"['विद्यालय,पैंट,पहाड़,गुलाब,तालाब,मोती,केक,बछड़ा,हथेली,गुलाब,गाड़ी,झील']","['विदाई ,विद्यालय ,पैंट ,पहाड़ ,गुलाब ,तालाब ,मोती ,केक ,बछड़ा ,हथेली ,गुलाब ,गाड़ी ,झील ']",22.0,Male,5.0,4.0,5.0,5.0,4.75
6638a210d8a5b440f8968b94,"['विद्यालय,पैंट,पहाड़,गुलाब,तालाब,मोती,केक,बछड़ा,हथेली,गुलाब,गाड़ी,झील']","['विदाई ,विद्यालय ,पैंट ,पहाड़ ,गुलाब ,तालाब ,मोती ,केक ,बछड़ा ,हथेली ,गुलाब ,गाड़ी ,झील ']",22.0,Male,5.0,4.0,5.0,5.0,4.75
6638a212d8a5b440f8968b9e,"['विद्यालय,पैंट,पहाड़,गुलाब,तालाब,मोती,केक,बछड़ा,हथेली,गुलाब,गाड़ी,झील']","['विदाई ,विद्यालय ,पैंट ,पहाड़ ,गुलाब ,तालाब ,मोती ,केक ,बछड़ा ,हथेली ,गुलाब ,गाड़ी ,झील ']",22.0,Male,5.0,4.0,5.0,5.0,4.75
6638a2cbd8a5b440f8968bdc,"['गुड़िया,सितारा,मछली,रेलगाड़ी,अंगूठा,जूता,चरस,बादल,पत्ता,बैग,आस्तीन,जेल']","['विदाई ,गुड़िया ,सितारा ,मछली ,रेलगाड़ी ,अंगूठा ,जूता ,चरस ,बादल ,पत्ता ,बेग ,आस्तीन ,जेल ']",22.0,Male,4.0,2.0,4.0,3.0,3.25
6638a211d8a5b440f8968b9a,"['विद्यालय,पैंट,पहाड़,गुलाब,तालाब,मोती,केक,बछड़ा,हथेली,गुलाब,गाड़ी,झील']","['विदाई ,विद्यालय ,पैंट ,पहाड़ ,गुलाब ,तालाब ,मोती ,केक ,बछड़ा ,हथेली ,गुलाब ,गाड़ी ,झील ']",22.0,Male,5.0,4.0,5.0,5.0,4.75
6638a21ed8a5b440f8968bbb,"['विद्यालय,पैंट,पहाड़,गुलाब,तालाब,मोती,केक,बछड़ा,हथेली,गुलाब,गाड़ी,झील']","['विदाई ,विद्यालय ,पैंट ,पहाड़ ,गुलाब ,तालाब ,मोती ,केक ,बछड़ा ,हथेली ,गुलाब ,गाड़ी ,झील ']",22.0,Male,5.0,4.0,5.0,5.0,4.75
6638a338d8a5b440f8968bea,"['खलिहान,रक्षक,रस,मोती,न्यायाधीश,भेड़िया,स्टोव,पूंछ,नाव,ईंट,होंठ,सोना']","['विदाई ,मीठी ,नाक ,चाय ,मेती ,न्यायधीरा ,मेड़ी या ,,फूलु ,नाव ,हॉट ,हॉट ,सोना ']",27.0,Male,3.0,3.0,2.0,2.0,2.5
6638a3cad8a5b440f8968bf2,"['पतंग,जूता,चिड़िया,कमरा,तिल,किताब,पत्ता,सींग,टैंक,छड़ी,भाला,खिलौना']","['विदाई ,पतंग ,,तिल ,,तिल ,किताब ,पत्ता ,सींघ ,,,,']",21.0,Male,5.0,5.0,5.0,5.0,5.0
6638a4c8d8a5b440f8968bfe,"['कोहरा,बैग,पैसा,दुनिया,सागरतट,रक्षक,कलम,खलिहान,गाल,नक्शा,कुत्ता,केक']","['वि वा ढ ,विवध ,अध्यक्ष ,बासुरी ,दुनिया ,संगीत ,सिपाही ,कमल ,नमक ,केक ,चावल ,नदी ,लोहा ']",21.0,male,4.0,3.0,3.0,4.0,3.5
6638a536d8a5b440f8968c06,"['घास,सड़क,बिल्ला,कप,पहाड़,मेंढक,दुकान,रस्सी,पैर,चट्टान,अंडा,ताज']","['विदाई ,घास ,पहाड़ ,,,,,मिठाई ,नूक ,पैर ,,,']",21.0,Male,4.0,3.0,3.0,3.0,3.25
